frota ano trimestre lat  long dias  capt_kg cpue    
  Santos  1998    1     25.75  46.25  9.0      1200.0000 133.33333
  Santos  1998    4     25.75  46.25 12.0      2000.0000 166.66667
  Santos  1999    2     25.75  46.25  9.5       750.0000  78.94737
  Ubatuba 1996    2     26.25  46.25 12.0       565.0000  47.08333
  Ubatuba 1996    4     26.25  47.25 10.0      1300.0000 130.00000
  Ubatuba 1996    4     26.25  47.25 10.0       700.0000  70.00000
  Ubatuba 1999    2     26.25  46.25 12.0      3500.0000 291.66667
  Ubatuba 1999    2     26.25  46.25 12.0      2800.0000 233.33333
  Ubatuba 1999    2     26.25  46.25 10.0      1500.0000 150.00000
  Ubatuba 1999    2     26.25  46.25 12.0      1730.0000 144.16667
  Santos  1995    2     26.25  46.75  5.0      2000.0000 400.00000
  Santos  1995    3     26.25  46.75 13.0       700.0000  53.84615
  Santos  1996    3     26.25  46.25  3.3       266.6667  80.00000
  Santos  1996    4     26.25  46.25 10.0      2000.0000 200.00000
  Santos  1996    4     26.25  46.75  9.0      1000.0000 111.11111
  Santos  1997    3     26.25  45.75 12.0      6000.0000 500.00000
  Santos  1997    4     26.25  45.75  7.5      1650.0000 220.00000
  Santos  1997    4     26.25  46.25  7.5      1650.0000 220.00000
  Santos  1997    4     26.25  46.25  4.0       300.0000  75.00000
  Santos  1998    2     26.25  46.25 12.0      1800.0000 150.00000
  Santos  1998    3     26.25  46.75  5.0       700.0000 140.00000
  Santos  1998    4     26.25  46.25  2.0      1200.0000 600.00000
  Santos  1999    1     26.25  46.25  5.0      2250.0000 450.00000
  Santos  1999    1     26.25  46.25 10.0      3000.0000 300.00000
  Santos  1999    1     26.25  46.25 15.0      3000.0000 200.00000
  Santos  1999    1     26.25  46.25 18.0      3500.0000 194.44444
  Santos  1999    2     26.25  46.25  8.0      3876.0000 484.50000
  Santos  1999    2     26.25  46.25  8.0      1351.0000 168.87500
  Santos  1999    2     26.25  47.75  6.0       900.0000 150.00000
  Santos  1999    2     26.25  47.75  7.5      1000.0000 133.33333
  Santos  1999    2     26.25  46.25  2.0       106.0000  53.00000
  Ubatuba 1996    4     26.75  47.25 10.0       480.0000  48.00000
  Santos  1995    1     26.75  46.25  3.0      1000.0000 333.33333
  Santos  1995    1     26.75  47.75  3.0       150.0000  50.00000
  Santos  1995    2     26.75  47.25  2.0       400.0000 200.00000
  Santos  1995    3     26.75  46.25 10.0      1000.0000 100.00000
  Santos  1995    4     26.75  46.25  5.0      1500.0000 300.00000
  Santos  1997    2     26.75  47.25 15.0      4000.0000 266.66667
  Santos  1997    3     26.75  46.25 12.0      3000.0000 250.00000
  Santos  1997    3     26.75  46.25  2.0       400.0000 200.00000
  Santos  1997    3     26.75  46.25  5.0       900.0000 180.00000
  Santos  1997    3     26.75  46.25 10.0      1500.0000 150.00000
  Santos  1997    3     26.75  46.75 14.0      2000.0000 142.85714
  Santos  1998    2     26.75  46.75 12.0      2900.0000 241.66667
  Santos  1998    3     26.75  47.25  8.0      1000.0000 125.00000
  Santos  1998    3     26.75  46.25  7.0       600.0000  85.71429
  Santos  1999    1     26.75  46.75 15.0      2300.0000 153.33333
  Santos  1999    2     26.75  46.75  8.0      2385.0000 298.12500
  Santos  1999    4     26.75  46.75  5.5      1750.0000 318.18182
  Santos  1999    4     26.75  46.75  8.0      1900.0000 237.50000
  Santos  1999    4     26.75  46.25  5.0      1050.0000 210.00000
  Santos  1999    4     26.75  46.75  5.0      1050.0000 210.00000
  Santos  1999    4     26.75  46.25  6.0     1000.0000 166.66667
  Santos  1999    4     26.75  46.75  7.0     1000.0000 142.85714
  Santos  1999    4     26.75  47.25  5.0      700.0000 140.00000
  Santos  1997    2     27.25  46.75  8.0     4000.0000 500.00000
  Santos  1998    1     27.25  46.75 14.0     1000.0000  71.42857
  Santos  1998    2     27.25  47.25  3.0     1000.0000 333.33333
  Santos  1998    3     27.25  46.75 13.0     2160.0000 166.15385
  Santos  1998    3     27.25  46.75 13.0     1700.0000 130.76923
  Santos  1998    4     27.25  46.75  2.0      700.0000 350.00000
  Santos  1998    4     27.25  46.75  4.0     1000.0000 250.00000
  Santos  1998    4     27.25  47.25  4.0      700.0000 175.00000
  Santos  1998    4     27.25  46.75 10.0     1500.0000 150.00000
  Santos  1998    4     27.25  46.75 11.0     1500.0000 136.36364
  Santos  1998    4     27.25  46.75  8.0      800.0000 100.00000
  Santos  1999    2     27.25  47.25  6.0      900.0000 150.00000
  Santos  1999    2     27.25  47.25  7.5     1000.0000 133.33333
  Santos  1999    3     27.25  48.25  5.5     1340.0000 243.63636
  Santos  1999    4     27.25  46.75 12.0     2500.0000 208.33333
  Santos  1999    4     27.25  46.75 10.0     2000.0000 200.00000
  Santos  1999    4     27.25  46.75  5.0      700.0000 140.00000
  Santos  1997    4     27.75  47.25  5.0     1342.0000 268.40000
  Santos  1995    2     28.25  47.25 10.0     1500.0000 150.00000
  Santos  1995    3     28.25  47.25 10.0     4000.0000 400.00000
  Santos  1995    3     28.25  47.25 12.0     2000.0000 166.66667
  Santos  1995    4     28.25  47.75  8.0     4500.0000 562.50000
  Santos  1995    4     28.25  47.25  4.0     1500.0000 375.00000
  Santos  1995    4     28.25  47.25 10.0     3500.0000 350.00000
  Santos  1995    4     28.25  47.25 12.0     3500.0000 291.66667
  Santos  1996    1     28.25  47.25  9.0     4000.0000 444.44444
  Santos  1997    1     28.25  47.25 10.0     1300.0000 130.00000
  Santos  1997    2     28.25  47.25  8.0     4500.0000 562.50000
  Santos  1997    4     28.25  47.25 12.0     5700.0000 475.00000
  Santos  1998    1     28.25  47.25 10.0     4500.0000 450.00000
  Santos  1998    3     28.25  47.25 16.0     6500.0000 406.25000
  Santos  1998    3     28.25  47.25 12.0     3000.0000 250.00000
  Santos  1998    3     28.25  47.25  5.0      500.0000 100.00000
  Santos  1999    3     28.25  47.25 12.0     3500.0000 291.66667
  Santos  1999    3     28.25  47.25  1.5      350.0000 233.33333
  Santos  1999    3     28.25  47.25  9.0     1900.0000 211.11111
  Santos  1999    3     28.25  46.75  5.0      800.0000 160.00000
  Santos  1999    3     28.25  47.25  5.0      800.0000 160.00000
  Santos  1999    3     28.25  47.25 13.0     1300.0000 100.00000
  Santos  1999    4     28.25  47.25 10.0      950.0000  95.00000

